Ttile,Annotation,PDF
Title:Using Random Forest Machine Learning Algorithms in Binary Supernovae Classification,"
Abstract:  In the era of large all-sky surveys, there will be a need for rapid,
automatic classifications of newly discovered transient objects. Our focus here
is the classification of supernovae (SNe). We consider random forest machine
learning algorithm applied to the classification of Type Ia and core-collapse
supernovae (CCSNe) by full light curves. We also quantitatively show the
potential of early-epoch classification using the same machine learning
techniques. The algorithm uses the shape and magnitude of the light curve peak
to determine the classification. This an initial study to essentially determine
SN type with as few data points as possible. New all-sky surveys will discover
new transients at a rapid rate and decisions will have to be made on very
little data which transients to follow-up. Here we present an initial study
where as few as five data points near peak, we an identify whether it is a Type
Ia or CCSNe with better than 80\% accuracy, but with several biases in the data
that will require addressing in future work.

    ",https://arxiv.org/pdf/1907.00088
Title:APOGEE/Kepler Overlap Yields Orbital Solutions for a Variety of Eclipsing Binaries,"
Abstract:  Spectroscopic Eclipsing Binaries (SEBs) are fundamental benchmarks in stellar
astrophysics and today are observed in breathtaking detail by missions like
TESS, Kepler, and APOGEE. We develop a methodology for simultaneous analysis of
high precision Kepler light curves and high resolution near-IR spectra from
APOGEE and present orbital solutions and evolutionary histories for a subset of
SEBs within this overlap. Radial velocities extracted from APOGEE spectra using
the Broadening Function technique are combined with Kepler light curves and to
yield binary orbital solutions. The Broadening Function approach yields more
precise radial velocities than the standard Cross-Correlation Function, which
in turn yields more precise orbital parameters and enables the identification
of tertiary stars. The orbital periods of these seven SEBs range from 4 to 40
days. Four of the systems (KIC 5285607, KIC 6864859, KIC 6778289, and KIC
4285087) are well-detached binaries. The remaining three systems have apparent
tertiary companions, but each exhibits two eclipses along with at least one
spectroscopically varying component (KIC 6449358, KIC 6131659, and KIC
6781535). Gaia distances are available for four targets which we use to
estimate temperatures of both members of these SEBs. We explore evolutionary
histories in H-R diagram space and estimate ages for this subset of our sample.
Finally, we consider the implications for the formation pathways of close
binary systems via interactions with tertiary companions. Our methodology
combined with the era of big data and observation overlap opens up the
possibility of discovering and analyzing large numbers of diverse SEBs,
including those with high flux ratios and those in triple systems.

    ",https://arxiv.org/pdf/1907.00095
Title:On orbit performance of the GRACE Follow-On Laser Ranging Interferometer,"
Abstract:  The Laser Ranging Interferometer (LRI) instrument on the Gravity Recovery and
Climate Experiment (GRACE) Follow-On mission has provided the first laser
interferometric range measurements between remote spacecraft, separated by
approximately 220 km. Autonomous controls that lock the laser frequency to a
cavity reference and establish the 5 degree of freedom two-way laser link
between remote spacecraft succeeded on the first attempt. Active beam pointing
based on differential wavefront sensing compensates spacecraft attitude
fluctuations. The LRI has operated continuously without breaks in phase
tracking for more than 50 days, and has shown biased range measurements similar
to the primary ranging instrument based on microwaves, but with much less noise
at a level of $1\,{\rm nm}/\sqrt{\rm Hz}$ at Fourier frequencies above 100 mHz.

    ",https://arxiv.org/pdf/1907.00104
Title:Pulsating white dwarfs: new insights,"
Abstract:  White dwarf stars constitute the final evolutionary stage for more than 95
per cent of all stars. The Galactic population of white dwarfs conveys a wealth
of information about several fundamental issues and are of vital importance to
study the structure, evolution and chemical enrichment of our Galaxy and its
components ---including the star formation history of the Milky Way. In
addition, white dwarfs are tracers of the evolution of planetary systems along
several phases of stellar evolution. Also, white dwarfs are used as
laboratories for astro-particle physics, being their interest focused on
physics beyond the standard model. The last decade has witnessed a great
progress in the study of white dwarfs. In particular, a wealth of information
of these stars from different surveys has allowed us to make meaningful
comparison of evolutionary models with observations. While some information
like surface chemical composition, temperature and gravity of isolated white
dwarfs can be inferred from spectroscopy, and the total mass and radius can be
derived as well when they are in binaries, the internal structure of these
compact stars can be unveiled only by means of asteroseismology, an approach
based on the comparison between the observed pulsation periods of variable
stars and the periods predicted by appropriate theoretical models. The
asteroseismological techniques allow us to infer details of the internal
chemical stratification, the total mass, and even the stellar rotation profile.
In this review, we first revise the evolutionary channels currently accepted
that lead to the formation of white-dwarf stars, and then, we give a detailed
account of the different sub-types of pulsating white dwarfs known so far,
emphasizing the recent observational and theoretical advancements in the study
of these fascinating variable stars.

    ",https://arxiv.org/pdf/1907.00115
Title:The Gemini/HST Galaxy Cluster Project: Environment Effects on the Stellar Populations in the Lynx Clusters at z=1.27,"
Abstract:  Few detailed investigations of stellar populations in passive galaxies beyond
z~1 are based on deep spectroscopic observations, due to the difficulty in
obtaining such data. We present a study of stellar populations, structure, and
mass-to-light ratios of a large sample of bulge-dominated galaxies in the two
z=1.27 clusters Lynx E and Lynx W, based on deep ground-based optical
spectroscopy combined with imaging from Hubble Space Telescope. We find that
Lynx E has a well-defined core of red passive galaxies, while Lynx W lacks such
a core. If all the sample galaxies evolve similarly in size from z=1.27 to the
present, the data allow only 0.1 dex size-growth at a fixed dynamical mass.
However, to link the Lynx central galaxies to brightest cluster galaxies
similar to those of low redshift clusters, the Lynx galaxies would have to grow
by at least a factor five, possibly through major merging. The mass-to-light
ratios and the Balmer absorption lines of the Lynx galaxies are consistent with
passive evolution of the stellar populations from z=1.27 to the present and
support ages of 1--3 Gyr. The galaxies in the outskirts of the clusters contain
younger stellar populations than found in the cluster cores. However, when
evolved passively to z~0 both populations are consistent with the observed
populations in the Coma cluster galaxies. The bulge-dominated emission line
galaxies in the clusters are dominated by stellar populations with sub-solar
metallicities. Thus, additional enrichment of these is required to produce
Coma-like stellar populations by z~0.

    ",https://arxiv.org/pdf/1907.00121
"Title:Bow shocks, bow waves, and dust waves. IV. Shell shape statistics","
Abstract:  Stellar bow shocks result from relative motions between stars and their
environment. The interaction of the stellar wind and radiation with gas and
dust in the interstellar medium produces curved arcs of emission at optical,
infrared, and radio wavelengths. We recently proposed a new two-dimensional
classification scheme for the shape of such bow shocks, which we here apply to
three very different observational datasets: mid-infrared arcs around hot OB
stars; far-infrared arcs around luminous cool stars; and H alpha emission-line
arcs around proplyds and other young stars in the Orion Nebula. For OB stars,
the average shape is consistent with simple thin-shell models for the
interaction of a spherical wind with a parallel stream, but the diversity of
observed shapes is many times larger than such models predict. We propose that
this may be caused by time-dependent oscillations in the bow shocks, due to
either instabilities or wind variability. Cool star bow shocks have markedly
more closed wings than hot star bow shocks, which may be due to the dust
emission arising in the shocked stellar wind instead of the shocked
interstellar medium. The Orion Nebula arcs, on the other hand, have both
significantly more open wings and significantly flatter apexes than the hot
star bow shocks. We test several possible explanations for this difference
(divergent ambient stream, low Mach number, observational biases, and influence
of collimated jets), but the evidence for each is inconclusive.

    ",https://arxiv.org/pdf/1907.00122
Title:New hot subdwarf stars identified in Gaia DR2 with LAMOST DR5 spectra -- II,"
Abstract:  388 hot subdwarf stars have been identified by using the Hertzsprung-Russell
(HR) diagram built from the second data release (DR2) of the Gaia mission. By
analyzing their observed LAMOST spectra, we characterized 186 sdB, 73 He-sdOB,
65 sdOB, 45 sdO, 12 He-sdO and 7 He-sdB stars. The atmospheric parameters of
these stars (e.g., T eff , log g, log(nHe/nH)) are obtained by fitting the
hydrogen (H) and helium (He) line profiles with synthetic spectra calculated
from non-Local Thermodynamic Equilibrium (non-LTE) model atmospheres. Among
these stars, we have 135 new identified hot subdwarfs which have not been
cataloged before. Although 253 stars appear in the catalog by Geier et al.
(2017) , but only 91 of them have atmospheric parameters. Together with the 294
hot subdwarf stars found by Lei et al. (2018), we identified 682 hot subdwarf
stars in total by using the Gaia HR-diagram and LAMOST spectra. These results
demonstrate the efficiency of our method to combine large surveys to search for
hot subdwarf stars. We found a distinct gap in our He-sdOB stars based on their
He abundance, which is also presented in extreme horizontal branch (EHB) stars
of the globular cluster (GC) {\omega} Cen. The number fraction of the sample
size for the two sub-groups is very different between the two counterparts.
However, the distinct gap between the H-sdB stars and He-sdOB stars in {\omega}
Cen is not visible in our sample. More interestingly, the He-sdB population
with the highest He abundance in our sample is completely missing in {\omega}
Cen. The discrepancy between our field hot subdwarf stars and the EHB stas in
{\omega} Cen indicate different origins for the two counterparts.

    ",https://arxiv.org/pdf/1907.00128
Title:Searching for Hot Subdwarf Stars in LAMOST DR1-II. Pure spectroscopic identification method for hot subdwarfs,"
Abstract:  Employing a new machine learning method, named hierarchical extreme learning
machine (HELM) algorithm, we identified 56 hot subdwarf stars in the first data
release (DR1) of the Large Sky Area Multi-Object Fibre Spectroscopic Telescope
(LAMOST) survey. The atmospheric parameters of the stars are obtained by
fitting the profiles of hydrogen (H) Balmer lines and helium (He) lines with
synthetic spectra calculated from non-Local Thermodynamic Equilibrium (NLTE)
model atmospheres. Five He-rich hot subdwarf stars were found in our sample
with their log(nHe/nH) > -1 , while 51 stars are He-poor sdB, sdO and sdOB
stars. We also confirmed the two He sequences of hot subdwarf stars found by
Edelmann et al. (2003) in Teff - log(nHe/nH) diagram. The HELM algorithm works
directly on the observed spectroscopy and is able to filter out spectral
properties without supplementary photometric data. The results presented in
this study demonstrate that the HELM algorithm is a reliable method to search
for hot subdwarf stars after a suitable training is performed, and it is also
suitable to search for other objects which have obvious features in their
spectra or images.

    ",https://arxiv.org/pdf/1907.00132
Title:Northern Galactic Molecular Cloud Clumps in Hi-GAL: Clump and Star Formation within Clouds,"
Abstract:  We investigate how the properties of Galactic giant molecular clouds (GMCs)
and their denser substructures (clumps) correlate with the local star formation
rate. We trace clouds using the $^{12}$CO(3-2) transition, as observed by the
CO High Resolution Survey (COHRS). We identify their constituent clumps using
thermal dust emission, as observed by the Herschel infrared GALactic plane
survey (Hi-GAL). We estimate star formation rates in these clouds using 70
$\mu$m emission. In total, we match 3,674 clumps to 473 clouds in
position-position-velocity space spanning the Galactic longitude range
$10^\circ<\ell<56^\circ$. We find that more massive clouds produce more clumps
and more massive clumps. These clumps have average number densities an order of
magnitude greater than their host clouds. We find a mean clump mass fraction of
$0.20^{+0.13}_{-0.10}$. This mass fraction weakly varies with mass and mass
surface density of clouds, and shows no clear dependence on the virial
parameter and line width of the clouds. The average clump mass fraction is only
weakly dependent upon Galactocentric radius. Although the scatter in our
measured properties is significant, the star formation rate for clouds is
independent of clump mass fraction. However, there is a positive correlation
between the depletion times for clouds and clump mass fraction. We find a star
formation efficiency per free fall time of $\epsilon_{\mathrm{ff}}=0.15\%$ for
GMCs but $\epsilon_{\mathrm{ff}}=0.37\%$ for clumps.

    ",https://arxiv.org/pdf/1907.00150
Title:Axisymmetric Schwarzschild models of an isothermal axisymmetric mock dwarf spheroidal galaxy,"
Abstract:  We test the ability of Schwarzschild's orbit superposition method in
measuring the mass content, scale radius and shape of a flattened dwarf
spheroidal galaxy. Until now, most dynamical model efforts have assumed that
dwarf spheroidal galaxies and their host halos are spherical. We use an Evans
model (1993) to construct an isothermal mock galaxy whose properties somewhat
resemble those of the Sculptor dwarf spheroidal galaxy. This mock galaxy
contains flattened luminous and dark matter components, resulting in a
logarithmic profile for the global potential. We have tested how well our
Schwarzschild method could constrain the characteristic parameters of the
system for different sample sizes, and also if the functional form of the
potential was unknown. When assuming the true functional form of the potential,
the Schwarzschild modelling technique is able to provide an accurate and
precise measurement of the characteristic mass parameter of the system and
reproduces well the light distribution and the stellar kinematics of our mock
galaxy. When assuming a different functional form for the potential, such as a
flattened NFW profile, we also constrain the mass and scale radius to their
expected values. However in both cases, we find that the flattening parameter
remains largely unconstrained. This is likely because the information content
of the velocity dispersion on the geometric shape of the potential is too
small, since $\sigma$ is constant across our mock dSph. Our results using
Schwarzschild's method indicate that the mass enclosed can be derived reliably,
even if the flattening parameter is unknown, and already for samples containing
2000 line-of-sight radial velocities, such as those currently available.
Further applications of the method to more general distribution functions of
flattened systems are needed to establish how well the flattening of dSph dark
halos can be determined.

    ",https://arxiv.org/pdf/1907.00156
Title:Forecast for weighing neutrinos in cosmology with SKA,"
Abstract:  We investigate what role the SKA neutral hydrogen (HI) intensity mapping (IM)
sky survey observation will play in weighing neutrinos in cosmology. We use the
simulated data of the baryon acoustic oscillation (BAO) measurements from the
HI IM survey based on SKA1 and SKA2 to do the analysis. For the current
observations, we use the Planck 2015 cosmic microwave background (CMB)
anisotropies observation, the optical BAO measurements, the type Ia supernovae
(SN) observation (Pantheon compilation), and the latest $H_0$ measurement. We
consider three mass ordering cases for massive neutrinos, i.e., the normal
hierarchy (NH), inverted hierarchy (IH), and degenerate hierarchy (DH) cases.
It is found that the SKA observation can significantly improve the constraints
on $\Omega_{\rm m}$ and $H_0$. Compared to the current observation, the SKA1
data can improve the constraints on $\Omega_{\rm m}$ by about 33%, and on $H_0$
by about 36%; the SKA2 data can improve the constraints on $\Omega_{\rm m}$ by
about 58%, and on $H_0$ by about 66%. It is also found that the SKA observation
can only slightly improve the constraints on $\sum m_\nu$. Compared to the
current observation, the SKA1 data can improve the constraints on $\sum m_\nu$
by about 4%, 3%, and 10%, for the NH, IH, and DH cases, respectively; the SKA2
data can improve the constraints on $\sum m_\nu$ by about 7%, 7%, and 16%, for
the NH, IH, and DH cases, respectively.

    ",https://arxiv.org/pdf/1907.00179
Title:The GeV emission in the field of the star-forming region W30 revisited,"
Abstract:  We present a detailed study of the gamma-ray emission from the direction of
the star-forming region W30 based on a decade of the Fermi Large Area Telescope
data in the 0.3-300 GeV photon energy range. The morphological and spectral
analyses allow us to resolve the gamma-ray emission into two extended
structures from different origins. One of them mostly overlaps with the
supernova remnant (SNR) G8.7-0.1 and has a soft spectrum that resembles with
the spectra of other middle-aged SNRs interacting with molecular clouds. The
other shows remarkable spatial and spectral consistency with the TeV emission
from HESS J1804-216, and its spectrum could be naturally explained by inverse
Compton scattering of electrons like a number of TeV gamma-ray emitting pulsar
wind nebulae. Thus we attribute this source to the nebula around the pulsar PSR
J1803-2137.

    ",https://arxiv.org/pdf/1907.00180
Title:Unveiling Dust Aggregate Structure in Protoplanetary Disks by Millimeter-wave Scattering Polarization,"
Abstract:  Dust coagulation in a protoplanetary disk is the first step of planetesimal
formation. However, a pathway from dust aggregates to planetesimals remains
unclear. Both numerical simulations and laboratory experiments have suggested
the importance of dust structure in planetesimal formation, but it is not well
constrained by observations. We study how dust structure and porosity alters
polarimetric images at millimeter wavelength by performing 3D radiative
transfer simulations. Aggregates with different porosity and fractal dimension
are considered. As a result, we find that dust aggregates with lower porosity
and/or higher fractal dimension are favorable to explain observed
millimeter-wave scattering polarization of disks. Aggregates with extremely
high porosity fail to explain the observations. In addition, we also show that
particles with moderate porosity show weak wavelength dependence of scattering
polarization, indicating that multi-wavelength polarimetry is useful to
constrain dust porosity. Finally, we discuss implications for dust evolution
and planetesimal formation in disks.

    ",https://arxiv.org/pdf/1907.00189
Title:A simple representation of oscillation modes in stars: from mixed modes coupling to glitches,"
Abstract:  Analytical resonance conditions for oscillation modes in stars are very
helpful both to predict and to examine their frequency spectra, as well as to
make the link with their internal properties. In this short paper, we introduce
a general quantization expression for oscillation modes accounting for the
possible existence of a local sharp variation in the equilibrium structure, a
so-called glitch. This representation is based on a direct adaptation of the
progressive-wave picture of mixed modes proposed by Takata (2016b). In this
formulation, a glitch turns out to be characterized by three parameters: its
acoustic depth, the phase lags introduced after the wave reflection at the
considered point, and a coupling factor. Such an expression has two main
advantages. First, it can be easily applicable to a lot of different structural
configurations. Second, it does not assume that the glitch is a small
perturbation. Actually, we check that the obtained expression tends to the
formulations previously derived when the glitch is weak. These research notes
represent a preliminary step towards a more generalized description of
multi-cavity oscillation modes, that was briefly addressed in the poster
presented at the PHOST conference.

    ",https://arxiv.org/pdf/1907.00201
