Ttile,Annotation,PDF
Title:Baryogenesis from Unstable Domain Walls,"
Abstract:  There exists a class of cosmic strings that turn matter into antimatter
(Alice strings). In a GUT where the unbroken gauge group contains charge
conjugation ($C$), such strings form when a phase transition renders $C$ a
discrete symmetry. They become boundaries of domain walls at a later,
$C$-breaking transition. These `Alice walls' are cosmologically harmless, but
can play an important role in baryogenesis. We present a three-generation toy
model with scalar baryons, where a quasi-static Alice wall (or a gas of such
walls) temporarily gives rise to net baryogenesis of uniform sign everywhere in
space. This becomes a permanent baryon excess if the wall shrinks away early
enough.
We comment on the possible relevance of a similar mechanism to baryogenesis
in a realistic $\soten$ unification model, where
Alice walls would form at the scale of left-right symmetry breaking.

    ",https://arxiv.org/pdf/hep-ph/9206201
Title:Implications of New Gallex Results for the MSW Solution of the Solar Neutrino Problem,"
Abstract:  We compare the implications for 7Be and pp neutrinos of the two MSW fits to
the new GALLEX solar neutrino measurements . Small mixing angle solutions tend
to suppress the former as electron-neutrinos, but not the latter, and large
angle solutions tend to reduce both by about a factor of 2. The consequences
for BOREXINO and similar solar neutrino--electron scattering experiments are
discussed.

    ",https://arxiv.org/pdf/hep-ph/9206228
Title:Superconducting Cosmc Strings and Primordial Magnetic Fields,"
Abstract:  We consider grand unified theories with superconducting cosmic strings and
which admit the mechanism for generating primordial magnetic fields recently
discussed by Vachaspati. We show that these models are severely constrained by
cosmological arguments. Quite generically, either stable springs or vortons
will form. Provided the mass per unit length of the strings is sufficiently
large, these stable configurations will overclose the Universe.

    ",https://arxiv.org/pdf/hep-ph/9206232
Title:The Implications of the COBE-DMR Results for Cosmic Strings,"
Abstract:  We compare the anisotropies in the cosmic microwave background radiation
measured by the COBE experiment to the predictions of cosmic strings. We use an
analytic model for the $\Delta T/T$ power spectrum that is based on our
previous numerical simulations to show that the COBE results imply a value for
the string mass per unit length, $\mu$ under the assumption that cosmic strings
are the source of the measured anisotropy. We find $G\mu = 1.5\pm 0.5 \times
10^{-6}$ which is consistent with the value of $\mu$ thought to be required for
cosmic strings to seed galaxy formation.

    ",https://arxiv.org/pdf/hep-ph/9206233
Title:Electroweak Baryogenesis with a Second Order Phase Transition,"
Abstract:  If stable electroweak strings are copiously produced during the electroweak
phase transition, they may contribute significantly to the presently observed
baryon to entropy ratio of the universe. This analysis establishes the
feasibility of implementing an electroweak baryogenesis scenario without a
first order phase transition.

    ",https://arxiv.org/pdf/hep-ph/9206260
Title:A Burst of Speculation,"
Abstract:  Self-consistent models of gamma-ray burst source regions at 100 Kpc distance
are possible if the radiating plasma is confined to very thin sheets, and I
estimate parameters. Energy sources might be elastic (by starquakes) or
magnetic (by reconnection), but mechanisms remain obscure. I discuss a very
speculative model involving collisions between comets in a hypothetical inner
Oort cloud.

    ",https://arxiv.org/pdf/astro-ph/9211001
Title:Detection of brown dwarfs by the micro-lensing of unresolved stars,"
Abstract:  The presence of brown dwarfs in the dark galactic halo could be detected
through their gravitational lensing effect and experiments under way monitor
about one million stars to observe a few lensing events per year. We show that
if the photon flux from a galaxy is measured with a good precision, it is not
necessary to resolve the stars and besides more events could be observed.

    ",https://arxiv.org/pdf/astro-ph/9211002
Title:Evolution of Elliptical Galaxies: The Multiphase Model,"
Abstract:  We present a multiphase model for the evolution of elliptical galaxies.
Diffuse gas, molecular clouds, stars and remnants are taken into account.
Cloud--cloud collisions and stimulated processes are the main causes of star
formation. The occurrence of winds driven by Supernovae is considered, and the
evolution of the system is computed also after the first wind, allowing for
further star formation from the restored gas. The evolution of the abundances
of 15 elements or isotopes is followed with detailed stellar nucleosynthesis.
Stellar lifetimes are taken into account and a new IMF has been adopted. The
gas removal due to the Supernovae explosions depends on the galactic mass and
the presence of dark matter; the subsequent wind episodes are crucial to the
intergalactic gas enrichment. Good agreement is obtained for current SNs rates,
Star Formation Rate and gas masses when compared to the available data.

    ",https://arxiv.org/pdf/astro-ph/9211003
Title:Gravitational Radiation from Colliding Vacuum Bubbles: Envelope Approximation to Many-Bubble Collisions,"
Abstract:  We introduce an approximation to calculate the gravitational radiation
produced by the collision of true-vacuum bubbles that is simple enough to allow
the simulation of a phase transition by the collision of hundreds of bubbles.
This ``envelope approximation'' neglects the complicated ``overlap'' regions of
colliding bubbles and follows only the evolution of the bubble walls. The
approximation accurately reproduces previous results for the gravitational
radiation from the collision of two scalar-field vacuum bubbles. Using a bubble
nucleation rate given by $\Gamma = \Gamma_0 e^{\beta t}$, we simulate a phase
transition by colliding 20 to 200 bubbles; the fraction of vacuum energy
released into gravity waves is $E_{\rm GW}/E_{\rm vac} = 0.06(H/\beta)^2$ and
the peak of the spectrum occurs at $\omega_{\rm max}=1.6\beta$ ($H^2=8\pi G\rho
/3$ is the Hubble constant associated with the false-vacuum phase). The
spectrum is very similar to that in the two-bubble case, except that the
efficiency of gravity-wave generation is about five times higher, presumably
due to the fact that a given bubble collides with many others. Finally, we
consider two further ``statistical'' approximations, where the gravitational
radiation is computed as an incoherent sum over individual bubbles weighted by
the distribution of bubble sizes. These approximations provide reasonable
estimates of the gravitational-wave spectrum with far less computation.

    ",https://arxiv.org/pdf/astro-ph/9211004
Title:Centri`fugal' Force around a Black Hole,"
Abstract:  Besides having some very interesting perturbatively unstable orbits, it seems
that for a Schwarzschild black hole, below $r=3M$, the force always increases
inward with increasing angular momentum. Here this previously known result is
derived with greater simplicity, and a similar analysis is performed for black
holes with angular momentum and charge.

    ",https://arxiv.org/pdf/astro-ph/9211005
Title:Generalized Einstein Theory on Solar and Galactic Scales,"
Abstract:  We study a generalized Einstein theory with the following two criteria:{\it
i}) on the solar scale, it must be consistent with the classical tests of
general relativity, {\it ii}) on the galactic scale, the gravitational
potential is a sum of Newtonian and Yukawa potentials so that it may explain
the flat rotation curves of spiral galaxies. Under these criteria, we find that
such a generalized Einstein action must include at least one scalar field and
one vector field as well as the quadratic term of the scalar curvature.

    ",https://arxiv.org/pdf/astro-ph/9211007
"Title:The Mad Era: A Possible New Resolution to the Horizon, Flatness, and Monopole Problems","
Abstract:  A cosmology with a dynamical Planck mass $m_{pl}$ is shown to solve the
horizon and monopole problems (and possibly flatness) if there is an early MAD
(modified aging) era where the universe becomes older than in the standard
model as a result of a large $m_{pl}$: the causality condition is $m_{pl}(T_c)/
m_{pl}(T_o) \gta T_c/T_o$ ($T_c$ is some high temperature while $T_o = 2.74K$.)
Unlike inflation, there is no period of vacuum domination nor any entropy
violation. We study: a) bare scalar theories of gravity, b) self-interacting
models, and c) bare theories with a phase transition in the matter sector.

    ",https://arxiv.org/pdf/astro-ph/9211008
Title:Gamma-Ray Bursts and Neutron Star Mergers - Possibly the Strongest Explosions in the Universe,"
Abstract:  $\gamma$-ray bursts have baffled theorists ever since their accidental
discovery at the sixties. We suggest that these bursts originate in merger of
neutron star binaries, taking place at cosmological distances. These mergers
release $\approx 10^{54}ergs$, in what are possibly the strongest explosions in
the Universe. If even a small fraction of this energy is channeled to an
electromagnetic signal it will be detected as a grbs. We examine the virtues
and limitations of this model and compare it with the recent Compton \g-ray
observatory results.

    ",https://arxiv.org/pdf/astro-ph/9211010
Title:A Possible Solution to the Horizon Problem: The Mad Era for Massless Scalar Theories of Gravity,"
Abstract:  Extensions of Einstein gravity which allow the gravitational constant $G$ to
change with time as the universe evolves may provide a resolution to the
horizon problem without invoking a period of vacuum domination and without the
subsequent entropy violation. In a cosmology for which the gravitational
constant is not in fact constant, the universe may be older at a given
temperature than in a standard Hot Big Bang universe; thus, larger regions of
space could have come into causal contact at that temperature. This opens the
possibility that large regions became smooth at some high temperature without
violating causality. The extra aging of the universe can be accomplished by an
early period with a large Planck mass, a period we call the MAD era (Modified
Aging era or the Massively Aged and Detained era). We discuss in this paper
theories of gravity in which the gravitational constant is replaced with a
function of a scalar field. However, this resolution to the smoothness problem

    ",https://arxiv.org/pdf/astro-ph/9211011
Title:On the rotation of polarization by a gravitational lens,"
Abstract:  It is proved that the field of a gravitational lens induces no rotation in
the polarization vector of electromagnetic radiation, in agreement with the
previous literature, but with a different approach. The result is generalized
to the case of less conventional gravitational lenses (static cosmic strings
and gravitational waves).

    ",https://arxiv.org/pdf/astro-ph/9211012
Title:On the General Properties of Matter,"
Abstract:  By means of a general classification of the different kinds of matter of
nature form a chain from the world of the subatomic particles to the large
bodies of the universe, the galaxies. Then, it proposes a new baryonic force
for the universe that is the fifth force which has been proposed in the
literature. It explains the universal expansion itself and shows why the
expansion must be slowing down at present. This force depends on the ratio of
the number of neutrons to the number of protons. Its potential for the Universe
is a well. At the bottom of the well the potential is of the form $kx^2$, where
$x$ is the separation among the bodies under consideration. It is suggested
that Nature has six fundamental forces which are unified in pairs and,
therefore, reduced to three at $t=0$. The condition for having a closed
universe is found. This new force, called superweak force in this paper,
explains also the evolution of galaxies and shows how the arms of spiral
galaxies(including barred spirals) are formed. The variation of the Hubble
constant with time is shown. It is shown that quarks are formed of prequarks
which may be the true elementary particles. The paper also gives a physical
explanation for quark confinement. The energies of baryon states are calculated
in a simple manner. The paper proposes the existence of four more bosons, one
for the superweak interaction and three for the superstrong interaction. The
six figures will be sent by mail upon request.

    ",https://arxiv.org/pdf/astro-ph/9211014
Title:Gauge Field Back-reaction on a Black Hole,"
Abstract:  The order $\hbar$ fluctuations of gauge fields in the vicinity of a blackhole
can create a repulsive antigravity region extending out beyond the renormalized
Schwarzschild horizon. If the strength of this repulsive force increases as
higher orders in the back-reaction are included, the formation of a
wormhole-like object could occur.

    ",https://arxiv.org/pdf/gr-qc/9211008
Title:The Relation between Physical and Gravitational Geometry,"
Abstract:  The appearance of two geometries in one and the same gravitational theory is
familiar. Usually, as in the Brans-Dicke theory or in string theory, these are
conformally related Riemannian geometries. Is this the most general relation
between the two geometries allowed by physics ? We study this question by
supposing that the physical geometry on which matter dynamics take place could
be Finslerian rather than just Riemannian. An appeal to the weak equivalence
principle and causality then leads us the conclusion that the Finsler geometry
has to reduce to a Riemann geometry whose metric - the physical metric - is
related to the gravitational metric by a generalization of the conformal
transformation.

    ",https://arxiv.org/pdf/gr-qc/9211017
Title:Superluminary Universe: A Possible Solution to the Initial Value Problem in Cosmology,"
Abstract:  The spontaneous breaking of local Lorentz invariance in the early Universe,
associated with a first order phase transition at a critical time $t_c$,
generates a large increase in the speed of light and a superluminary
communication of information occurs, allowing all regions in the Universe to be
causally connected. This solves the horizon problem, leads to a mechanism of
monopole suppression in cosmology and can resolve the flatness problem. After
the critical time $t_c$, local Lorentz (and diffeomorphism) invariance is
restored and light travels at its presently measured speed. The kinematical and
dynamical aspects of the generation of quantum fluctuations in the
superluminary Universe are investigated. A scale invariant prediction for the
fluctuation density amplitude is obtained.

    ",https://arxiv.org/pdf/gr-qc/9211020
Title:On the COBE Discovery - for Pedestrians,"
Abstract:  A recent discovery by the COBE satellite is presented, and its importance
discussed in the context of the physics of the early Universe. The various
implications for our understanding of the structure of the Universe are
outlined.

    ",https://arxiv.org/pdf/hep-ph/9211201
Title:SO(10) Cosmic Strings and Baryon Number Violation,"
Abstract:  SO(10) cosmic strings formed during the phase transition Spin(10)
$\rightarrow$ SU(5) $\times{\cal Z}_2$ are studied. Two types of strings ---
one effectively Abelian and one non-Abelian --- are constructed and the string
solutions are calculated numerically. The non-Abelian string can catalyze
baryon number violation via the ``twisting'' of the scalar field which causes
mixing of leptons and quarks in the fermion multiplet. The non-Abelian string
is also found to have the lower energy possibly for the entire range of the
parameters in the theory. Scattering of fermions in the fields of the strings
is analyzed, and the baryon number violation cross section is calculated. The
role of the self-adjoint parameters is discussed and the values are computed.

    ",https://arxiv.org/pdf/hep-ph/9211206
Title:Cosmology and Astrophysics 1992,"
Abstract:  I review recent developments in cosmology and astrophysics relevant to
particle physics, focussing on the following questions: What's new in 1992?
What have we learned since the last ICHEP meeting in 1990? and What are the
prospects for the future? AMong the topics explicitly discussed are: COBE,
Large Scale Structure, and Dark Matter; Bib Bang Nucleosynthesis; the Solar
Neutrino Problem; and High Energy Gamma Ray PHysics.

    ",https://arxiv.org
Title:Neutrino production through hadronic cascades in AGN accretion disks,"
Abstract:  We consider the production of neutrinos in active galactic nuclei (AGN)
through hadronic cascades. The initial, high energy nucleons are accelerated in
a source above the accretion disk around the central black hole. From the
source, the particles diffuse back to the disk and initiate hadronic cascades.
The observable output from the cascade are electromagnetic radiation and
neutrinos. We use the observed diffuse background X-ray luminosity, which
presumably results {}from this process, to predict the diffuse neutrino flux
close to existing limits from the Frejus experiment. The resulting neutrino
spectrum is $E^{-2}$ down to the $\GeV$ region. We discuss modifications of
this scenario which reduce the predicted neutrino flux.

    ",https://arxiv.org/pdf/hep-ph/9211257
Title:Recent Work on Standard Solar Models,"
Abstract:  Recent results on standard solar models are reviewed. I shall summarize
briefly three of the themes that I stressed at the Neutrino '92 Conference: 1)
Different solar model codes give the same answers when the same input data are
used; 2) Improved calculations of standard solar models include helium
diffusion, the Livermore radiative opacity, the meteoritic iron abundance, and
a variety of other corrections; and 3) There are a few basic rules that should
be followed in using standard solar models. At the Neutrino '92 Conference, I
reviewed in more detail the recent work on standard solar models by Marc
Pinsonneault and myself. This work has by now appeared in print (Rev. Mod.
Phys. 64, 885, 1992, hereafter Paper I, and ApJ Letters, 69, 717, 1992, Paper
II). Therefore, there is no need for me to repeat the details here.

    ",https://arxiv.org/pdf/hep-ph/9211280
Title:What Do Solar Models Tell Us About Solar Neutrino Experiments?,"
Abstract:  If the published event rates of the chlorine and Kamiokande solar neutrino
experiments are correct, then the energy spectrum of neutrinos produced by the
decay of $^8$B in the sun must be different from the energy spectrum determined
from laboratory nuclear physics measurements. This change in the energy
spectrum requires physics beyond the standard electroweak model. In addition,
the GALLEX and SAGE experiments, which currently have large statistical
uncertainties, differ from the predictions of the standard solar model by $2
\sigma$ and $3 \sigma$, respectively.

    ",https://arxiv.org/pdf/hep-ph/9211291
Title:Vacuum Decay in Theories with Symmetry Breaking by Radiative Corrections,"
Abstract:  The standard bounce formalism for calculating the decay rate of a metastable
vacuum cannot be applied to theories in which the symmetry breaking is due to
radiative corrections, because in such theories the tree-level action has no
bounce solutions. In this paper I derive a modified formalism to deal with such
cases. As in the usual case, the bubble nucleation rate may be written in the
form $A e^{-B}$. To leading approximation, $B$ is the bounce action obtained by
replacing the tree-level potential by the leading one-loop approximation to the
effective potential, in agreement with the generally adopted {\it ad hoc}
remedy. The next correction to $B$ (which is proportional to an inverse power
of a small coupling) is given in terms of the next-to-leading term in the
effective potential and the leading correction to the two-derivative term in
the effective action. The corrections beyond these (which may be included in
the prefactor) do not have simple expressions in terms of the effective
potential and the other functions in the effective action. In particular, the
scalar-loop terms which give an imaginary part to the effective potential do
not explicitly appear; the corresponding effects are included in a functional
determinant which gives a manifestly real result for the nucleation rate.

    ",https://arxiv.org/pdf/hep-ph/9211314
Title:Flipped Heavy Neutrinos from the Solar Neutrino Problem to Baryogenesis,"
Abstract:  We discuss baryogenesis using the flipped $SU(5)$ model for lepton mass
matrices. We show that the generalized see-saw mechanism in this model can not
only provide MSW neutrino mixing suitable for solving the solar neutrino
problem, and supply a hot dark matter candidate ($\nu_\tau$) with mass
$0(10)eV$ as indicated by recent COBE results, but can also naturally account
for the baryon asymmetry of the universe. Heavy singlet neutrino decay
generates a net lepton asymmetry which is subsequently reprocessed by
nonperturbative electroweak interactions. We evaluate the baryon asymmetry so
produced in light of the constraints that the COBE observations put on
inflationary cosmologies, finding it comfortably consistent with observation.

    ",https://arxiv.org/pdf/hep-ph/9211325
Title:Nonstationary Gravitational Lenses and the Fermat Principle,"
Abstract:  We apply Perlick's (1990a) rigorous formulation of the Fermat principle in
arbitrary spacetimes to prove the correctness of the description of
gravitational lensing by gravitational waves, given in the literature using the
scalar and vector formalisms. We obtain an expression for the time delay due to
such nonstationary lenses; the advantage over previous papers is that Perlick's
formulation of the Fermat principle is very rigorous and more suitable for
practical calculations in some cases. It is also shown that ordinary moving
gravitational lenses must be considered as a stationary case.

    ",https://arxiv.org/pdf/astro-ph/9205001
Title:Giant Molecular Cloud Formation through the Parker Instability in a Skewed Magnetic Field,"
Abstract:  The effect of the magnetic skew on the Parker instability is investigated by
means of the linear stability analysis for a gravitationally stratified gas
layer permeated by a horizontal magnetic field. When the magnetic field is
skewed (i.e., the field line direction is a function of the height), the
wavelength of the most unstable mode is $ \lambda \; \sim \; 10 H $ where $ H $
is the pressure scale height. The growth rate of the short wavelength modes is
greatly reduced when the gradient in the magnetic field direction exceeds 0.5
radian per scale height. Our results indicate that the Parker instability in a
skewed magnetic field preferentially forms large scale structures like giant
molecular clouds.

    ",https://arxiv.org/pdf/astro-ph/9205002
Title:Particle Acceleration in (by) Accretion Discs,"
Abstract:  I present a model for acceleration of protons by the second-order Fermi
process acting on randomly scrambled magnetic flux arches above an accretion
disc. The accelerated protons collide with thermal protons in the disc,
producing degraded energetic protons, charged and neutral pions, and neutrons.
The pions produce gamma-rays by spontaneous decay of $\pi^0$ and by
bremsstrahlung and Compton processes following the decay of $\pi^\pm$ to
$e^\pm$.

    ",https://arxiv.org/pdf/astro-ph/9205003
Title:The Spatial Distribution of Nearby Galaxy Clusters in the Northern and Southern Galactic Hemispheres,"
Abstract:  We compare the spatial distributions of galaxy clusters in the northern and
southern galactic hemispheres, and the Abell and ACO clusters distributions. We
perform a statistical (correlation and cluster) analysis of a sample of Abell
and ACO galaxy clusters in the southern galactic hemisphere. We compare these
results with a symmetric sample at northern galactic latitude taken from
Postman et al. (1992). For the northern sample, we substantially confirm the
results of Postman et al. We find that the two-point spatial correlation
function of northern and southern clusters is comparable, with mean correlation
length 19.6 Mpc and slope -1.8 positive up to about 45 Mpc. Percolation
properties are remarkably similar in the northern and southern cluster samples.
We give also a catalog of superclusters. In the south galactic hemisphere the
main feature is a very rich, extended supercluster in the Horologium region at
a redshift 0.06, near to a large void.

    ",https://arxiv.org/pdf/astro-ph/9205004
Title:Chaotic Dark Matter,"
Abstract:  A very weakly coupled scalar field with mass $m$ and initial vacuum
expectation value $V$ will provide enough mass to close the universe provided
$V\simeq (3\times 10^8\gev)(100\gev/m)^{1/4}$. We discuss possible models in
which such a field could arise.

    ",https://arxiv.org/pdf/astro-ph/9205005
Title:Can the Quark-Gluon Plasma in the Early Universe be supercooled?,"
Abstract:  The quark-hadron phase transition in the early universe can produce
inhomogeneities in the distribution of nucleons, which in turn affect the
primordial nucleosynthesis. In all the investigations of this problem it has
been assumed that the degree of supercooling of the quark-gluon plasma after
the phase transition is large enough to produce a significant rate of
nucleation of hadrons. Using the latest results of finite temperature lattice
QCD and the finite size scaling theory, we argue that the degree of
supercooling is in fact extremely small and hence the nucleation rate is
negligible.

    ",https://arxiv.org/pdf/astro-ph/9205006
Title:Late time Cosmological Phase Transition and Galactic Halo as Bose-liquid,"
Abstract:  We consider the ultra light pseudo Nambu-Goldstone boson appearing in the
late time cosmological phase transition theories as a dark matter candidate.
Since it is almost massless, its nature is more wave like than particle like.
Hence we apply quantum mechanics to study how they form the galactic halos.
Three predictions are made; (1)the mass profile $\rho\sim r^{-1.6}$, (2)there
are ripple-like fine structures in rotation curve, (3) the rotation velocity
times ripple's wave length is largely galaxy independent. We compare the
rotation curves predicted by our theory with the data observed.

    ",https://arxiv.org/pdf/hep-ph/9205208
Title:The Angular Dependence of the Three-Point Correlation Function of the Cosmic Microwave Background Radiation as Predicted by Inflationary Cosmologies,"
Abstract:  Inflationary models predict a definite, model independent, angular dependence
for the three-point correlation function of $\Delta T/T$ at large angles
(greater than $\sim 1^\circ$) which we calculate. The overall amplitude is
model dependent and generically unobservably small, but may be large in some
specific models. We compare our results with other models of nongaussian
fluctuations.

    ",https://arxiv.org/pdf/astro-ph/9208001
Title:Dependence of Density Perturbations on the Coupling Constant in a Simple Model of Inflation,"
Abstract:  In the standard inflationary scenario with inflaton potential
$V(\Phi)=M^4-{1\over4}\lambda\Phi^4$, the resulting density perturbations
$\delta\rho/\rho$ are proportional to $\lambda^{1/2}$. Upper bounds on
$\delta\rho/\rho$ require $\lambda < 10^{-13}$. Ratra has shown that an
alternative treatment of reheating results in $\delta\rho/\rho \propto
\lambda^{-1}$, so that an upper bound on $\delta\rho/\rho$ does not put an
obvious upper bound on $\lambda$. We verify that $\delta\rho/\rho \propto
\lambda^{-1}$ is indeed a possibility, but show that $\lambda < 10^{-13}$ is
still required.

    ",https://arxiv.org/pdf/astro-ph/9208002
